Year,city,village,murder,robbery,theft,violence
2021,서울특별시,중구,4,3,765,945
2021,서울특별시,종로구,3,2,513,815
2021,서울특별시,남대문구,2,3,514,464
2021,서울특별시,서대문구,3,2,1027,1109
2021,서울특별시,혜화구,3,2,566,652
2021,서울특별시,용산구,3,1,945,1291
2021,서울특별시,성북구,3,0,391,610
2021,서울특별시,동대문구,3,7,1240,1540
2021,서울특별시,마포구,4,4,1510,1701
2021,서울특별시,영등포구,8,11,1712,2169
2021,서울특별시,성동구,3,4,905,1090
2021,서울특별시,동작구,2,1,1129,1319
2021,서울특별시,광진구,5,4,1414,1456
2021,서울특별시,서구,2,1,706,782
2021,서울특별시,강북구,4,1,777,1383
2021,서울특별시,금천구,7,3,1013,1282
2021,서울특별시,중랑구,4,6,1399,1660
2021,서울특별시,강남구,8,13,1517,1961
2021,서울특별시,관악구,8,7,1860,2248
2021,서울특별시,강서구,9,3,1540,2098
2021,서울특별시,강동구,3,6,1612,1713
2021,서울특별시,종암구,1,2,504,782
2021,서울특별시,구로구,5,2,1390,1907
2021,서울특별시,서초구,9,5,1190,1488
2021,서울특별시,양천구,1,3,1349,1546
2021,서울특별시,송파구,3,7,2024,2433
2021,서울특별시,노원구,6,3,1361,1899
2021,서울특별시,방배구,0,0,313,339
2021,서울특별시,은평구,2,2,718,865
2021,서울특별시,도봉구,2,2,772,1012
2021,서울특별시,수서구,4,12,855,1198
2021,부산광역시,중구,3,2,583,565
2021,부산광역시,동래구,2,1,922,1124
2021,부산광역시,영도구,4,1,299,512
2021,부산광역시,동구,2,0,478,656
2021,부산광역시,진구,2,5,2177,2614
2021,부산광역시,서구,1,2,414,625
2021,부산광역시,남구,4,6,1194,1638
2021,부산광역시,해운대구,4,10,1238,1585
2021,부산광역시,사상구,4,7,948,1070
2021,부산광역시,금정구,5,2,778,793
2021,부산광역시,사하구,4,2,907,1249
2021,부산광역시,연제구,5,3,886,1382
2021,부산광역시,강서구,0,3,356,537
2021,부산광역시,북구,5,7,926,1057
2021,부산광역시,기장구,1,0,564,688
2021,대구광역시,중구,3,5,1337,925
2021,대구광역시,동구,5,2,1313,1612
2021,대구광역시,서구,1,3,773,1137
2021,대구광역시,남구,2,3,647,991
2021,대구광역시,북구,2,4,1532,1908
2021,대구광역시,수성구,5,0,1148,1444
2021,대구광역시,달서구,4,4,1990,2210
2021,대구광역시,달성군,2,2,565,775
,,,,,,
,,,,,,
,,,살인,강도,절도,폭력
